Gene_name,Product,Label,I6,M5,M6,M8,Delta_M5,Category,Classification
,DHA2 family efflux MFS transporter permease subunit,DHA2 family efflux MFS transporter permease subuni,1,6,6,6,5,ABC transporter,isolate_only_multicopy
,DUF4280 domain-containing protein,DUF4280,1,6,6,6,5,DUF/domain,isolate_only_multicopy
eamA,EamA family transporter,eamA,1,6,6,6,5,Other,isolate_only_multicopy
,Fe/B12 periplasmic-binding domain-containing protein,Fe/B12 periplasmic-binding,5,0,0,0,-5,Other,I6_only_multicopy
,Fibronectin type III domain protein,Fibronectin type III,0,5,5,5,5,Other,isolate_only_multicopy
,GNAT family N-acetyltransferase,GNAT family N-acetyltransferase,4,9,9,9,5,Metabolism,isolate_expanded
,"Germination, Ger(X)C family protein","Germination, Ger(X)C",2,7,7,7,5,Sporulation,isolate_only_multicopy
,HD-GYP domain-containing protein,HD-GYP,7,2,2,2,-5,Other,I6_only_multicopy
,HTH hxlR-type domain-containing protein,HTH hxlR-type,5,0,0,0,-5,Other,I6_only_multicopy
lysM,LysM domain protein,lysM,0,5,5,5,5,Other,isolate_only_multicopy
,Metallo-beta-lactamase domain-containing protein,Metallo-beta-lactamase,7,2,2,2,-5,Other,I6_only_multicopy
,Methyltransferase type 11 domain-containing protein,Methyltransferase type 11,5,0,0,0,-5,Metabolism,I6_only_multicopy
,NAD-dependent epimerase/dehydratase domain-containing protein,NAD-dependent epimerase/dehydratase,5,0,0,0,-5,Other,I6_only_multicopy
,Nudix hydrolase domain-containing protein,Nudix hydrolase,5,0,0,0,-5,Metabolism,I6_only_multicopy
,PRD domain protein,PRD,2,7,7,7,5,Other,isolate_only_multicopy
,Permease,Permease,8,3,3,3,-5,ABC transporter,I6_expanded
,Phage late control D family protein,Phage late control D,2,7,7,7,5,Phage,isolate_only_multicopy
,Phosphotransferase enzyme family protein,Phosphotransferase enzyme,0,5,5,5,5,Metabolism,isolate_only_multicopy
,PspA/IM30 family protein,PspA/IM30,1,6,6,6,5,Other,isolate_only_multicopy
,Pyridine nucleotide-disulfide oxidoreductase family protein,Pyridine nucleotide-disulfide oxidoreductase,0,5,5,5,5,Metabolism,isolate_only_multicopy
,Radical SAM core domain-containing protein,Radical SAM core,6,1,1,1,-5,Other,I6_only_multicopy
,Sulfatase N-terminal domain-containing protein,Sulfatase N-terminal,5,0,0,0,-5,Other,I6_only_multicopy
,helix-turn-helix domain-containing protein,helix-turn-helix,0,5,5,5,5,Other,isolate_only_multicopy
,3-demethylubiquinone-9 3-methyltransferase family protein,3-demethylubiquinone-9 3-methyltransferase,0,4,4,4,4,Metabolism,isolate_only_multicopy
,AMP-binding enzyme family protein,AMP-binding enzyme,0,4,4,4,4,Other,isolate_only_multicopy
,ATP-binding protein,ATP-binding protein,0,4,4,4,4,ABC transporter,isolate_only_multicopy
,Activator of Hsp90 ATPase-like ue 1/2-like C-terminal domain-containing protein,Activator of Hsp90 ATPase-like ue 1/2-like C-termi,6,2,2,2,-4,Other,I6_only_multicopy
,Acyltransferase family protein,Acyltransferase,0,4,4,4,4,Metabolism,isolate_only_multicopy
,Alcohol dehydrogenase,Alcohol dehydrogenase,4,0,0,0,-4,Metabolism,I6_only_multicopy
,Alcohol dehydrogenase catalytic domain-containing protein,Alcohol dehydrogenase catalytic,0,4,4,4,4,Metabolism,isolate_only_multicopy
,Bacterial transferase hexapeptide family protein,Bacterial transferase hexapeptide,0,4,4,4,4,Metabolism,isolate_only_multicopy
licT,BglG family transcription antiterminator LicT,licT,0,4,4,4,4,Other,isolate_only_multicopy
,Carbohydrate ABC transporter permease,Carbohydrate ABC transporter permease,6,2,2,2,-4,ABC transporter,I6_only_multicopy
,Coat F domain protein,Coat F,1,5,5,5,4,Other,isolate_only_multicopy
,Copper amine oxidase,Copper amine oxidase,1,5,5,5,4,Other,isolate_only_multicopy
,Cupin domain-containing protein,Cupin,0,4,4,4,4,Other,isolate_only_multicopy
,DNA 3'-5' helicase,DNA 3'-5' helicase,7,3,3,3,-4,Other,I6_expanded
,DUF2179 domain-containing protein,DUF2179,6,10,10,10,4,DUF/domain,isolate_expanded
,DUF4025 domain-containing protein,DUF4025,3,7,7,7,4,DUF/domain,isolate_expanded
,Dihydroorotate dehydrogenase,Dihydroorotate dehydrogenase,4,0,0,0,-4,Metabolism,I6_only_multicopy
,FAD dependent oxidoreductase family protein,FAD dependent oxidoreductase,0,4,4,4,4,Metabolism,isolate_only_multicopy
,FeS cluster biogenesis domain-containing protein,FeS cluster biogenesis,4,0,0,0,-4,Other,I6_only_multicopy
,Fibronectin type III-like domain-containing protein,Fibronectin type III-like,0,4,4,4,4,Other,isolate_only_multicopy
,GP-PDE domain-containing protein,GP-PDE,4,0,0,0,-4,Other,I6_only_multicopy
,Ger(X)C family spore germination protein,Ger(X)C family spore germination protein,4,8,8,8,4,Sporulation,isolate_expanded
,Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein,Gfo/Idh/MocA-like oxidoreductase N-terminal,4,0,0,0,-4,Metabolism,I6_only_multicopy
,HAMP domain-containing protein,HAMP,5,9,9,9,4,Other,isolate_expanded
,HD domain protein,HD,1,5,5,5,4,Other,isolate_only_multicopy
,HEAT repeat domain-containing protein,HEAT repeat,0,4,4,4,4,Other,isolate_only_multicopy
,HTH domain protein,HTH,0,4,4,4,4,Other,isolate_only_multicopy
,Histidine kinase,Histidine kinase,4,0,0,0,-4,Metabolism,I6_only_multicopy
merR,MerR regulatory family protein,merR,0,4,4,4,4,Regulator,isolate_only_multicopy
,Nitroreductase family protein,Nitroreductase,0,4,4,4,4,Metabolism,isolate_only_multicopy
,NodB-like y domain-containing protein,NodB-like y,5,1,1,1,-4,Other,I6_only_multicopy
,Pentapeptide repeat-containing protein,Pentapeptide repeat-containing protein,0,4,4,4,4,Other,isolate_only_multicopy
,Peptidase M23 family protein,Peptidase M23,0,4,4,4,4,Other,isolate_only_multicopy
,Periplasmic binding family protein,Periplasmic binding,1,5,5,5,4,Other,isolate_only_multicopy
,Periplasmic binding protein domain-containing protein,Periplasmic binding protein,4,0,0,0,-4,ABC transporter,I6_only_multicopy
,Phage integrase family protein,Phage integrase,0,4,4,4,4,Phage,isolate_only_multicopy
,Response regulatory domain-containing protein,Response regulatory,4,0,0,0,-4,Other,I6_only_multicopy
,S1 motif domain-containing protein,S1 motif,4,0,0,0,-4,Other,I6_only_multicopy
,SAM-dependent methyltransferase,SAM-dependent methyltransferase,7,3,3,3,-4,Metabolism,I6_expanded
,SDR family oxidoreductase,SDR family oxidoreductase,3,7,7,7,4,Metabolism,isolate_expanded
,"Sigma-70, region 4 family protein","Sigma-70, region 4",0,4,4,4,4,Other,isolate_only_multicopy
,Solute-binding protein family 5 domain-containing protein,Solute-binding protein family 5,4,0,0,0,-4,ABC transporter,I6_only_multicopy
,Transposase IS1182 family protein,Transposase IS1182,4,0,0,0,-4,IS transposase,I6_only_multicopy
,VOC domain-containing protein,VOC,7,3,3,3,-4,Other,I6_expanded
,VWFA domain-containing protein,VWFA,5,1,1,1,-4,Other,I6_only_multicopy
,XRE family transcriptional regulator,XRE family transcriptional regulator,1,5,5,5,4,Regulator,isolate_only_multicopy
,YheC/YheD family protein,YheC/YheD,1,5,5,5,4,Other,isolate_only_multicopy
trxA,thioredoxin,trxA,0,4,4,4,4,Other,isolate_only_multicopy
map,type I methionyl aminopeptidase,map,0,4,4,4,4,Other,isolate_only_multicopy
rpmG,50S ribosomal protein L33,rpmG,0,3,3,3,3,Ribosomal/RNA,isolate_only_multicopy
,AB hydrolase-1 domain-containing protein,AB hydrolase-1,4,1,1,1,-3,Metabolism,I6_only_multicopy
,ABC transporter ATP-binding protein,ABC transporter ATP-binding protein,11,8,8,8,-3,ABC transporter,I6_expanded
,ABC-type dipeptide transporter,ABC-type dipeptide transporter,3,0,0,0,-3,Other,I6_only_multicopy
,AI-2E family transporter,AI-2E,2,5,5,5,3,Other,isolate_only_multicopy
clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,clpP,0,3,3,3,3,Other,isolate_only_multicopy
,ATP-dependent Clp protease proteolytic subunit,ATP-dependent Clp protease proteolytic subunit,3,0,0,0,-3,Other,I6_only_multicopy
,Acyltransferase 3 domain-containing protein,Acyltransferase 3,3,0,0,0,-3,Metabolism,I6_only_multicopy
,Amino acid permease,Amino acid permease,2,5,5,5,3,ABC transporter,isolate_only_multicopy
,Amino acid permease family protein,Amino acid permease,0,3,3,3,3,ABC transporter,isolate_only_multicopy
,Amino acid permease/ SLC12A domain-containing protein,Amino acid permease/ SLC12A,3,0,0,0,-3,ABC transporter,I6_only_multicopy
,Aminoglycoside phosphotransferase domain-containing protein,Aminoglycoside phosphotransferase,3,0,0,0,-3,Metabolism,I6_only_multicopy
,Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,Aminotransferase class I/II-fold pyridoxal phospha,1,4,4,4,3,Metabolism,isolate_only_multicopy
,Anaerobic ribonucleoside-triphosphate reductase-activating protein,Anaerobic ribonucleoside-triphosphate reductase-ac,3,0,0,0,-3,Metabolism,I6_only_multicopy
,Bacterial transcriptional regulator family protein,Bacterial transcriptional regulator,0,3,3,3,3,Regulator,isolate_only_multicopy
,Bacterial type II secretion system protein E domain-containing protein,Bacterial type II secretion system protein E,3,0,0,0,-3,Other,I6_only_multicopy
,Baseplate J-like family protein,Baseplate J-like,0,3,3,3,3,Other,isolate_only_multicopy
,Beta-glucoside-specific PTS transporter subunit IIABC,Beta-glucoside-specific PTS transporter subunit II,3,0,0,0,-3,Other,I6_only_multicopy
,Beta-glucuronidase,Beta-glucuronidase,3,0,0,0,-3,Other,I6_only_multicopy
,CAAX protease self-immunity family protein,CAAX protease self-immunity,0,3,3,3,3,Other,isolate_only_multicopy
cas2,CRISPR-associated endonuclease Cas2,cas2,0,3,3,3,3,Other,isolate_only_multicopy
,Calcineurin-like phosphoesterase family protein,Calcineurin-like phosphoesterase,0,3,3,3,3,Other,isolate_only_multicopy
,Cell envelope-related function transcriptional attenuator common domain protein,Cell envelope-related function transcriptional att,1,4,4,4,3,Other,isolate_only_multicopy
,Class C beta-lactamase-related serine hydrolase,Class C beta-lactamase-related serine hydrolase,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Cobalt transport family protein,Cobalt transport,0,3,3,3,3,Other,isolate_only_multicopy
,Cobalt/nickel transport system permease,Cobalt/nickel transport system permease,3,0,0,0,-3,ABC transporter,I6_only_multicopy
,"Cof subfamily of IIB subfamily of haloacid dehalogenase superfamily/HAD-superfamily hydrolase, subfamily IIB",Cof subfamily of IIB subfamily of haloacid dehalog,3,0,0,0,-3,Metabolism,I6_only_multicopy
,Cof-like hydrolase family protein,Cof-like hydrolase,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Conjugal transfer protein,Conjugal transfer protein,0,3,3,3,3,Conjugation,isolate_only_multicopy
cwlV,CwlV,cwlV,0,3,3,3,3,Other,isolate_only_multicopy
,DJ-1/PfpI domain-containing protein,DJ-1/PfpI,3,0,0,0,-3,Other,I6_only_multicopy
,DJ-1/PfpI family protein,DJ-1/PfpI,0,3,3,3,3,Other,isolate_only_multicopy
,DSBA-like thioredoxin domain protein,DSBA-like thioredoxin,0,3,3,3,3,Other,isolate_only_multicopy
,DUF1266 domain-containing protein,DUF1266,0,3,3,3,3,DUF/domain,isolate_only_multicopy
,DUF4179 domain-containing protein,DUF4179,9,12,12,12,3,DUF/domain,isolate_expanded
,DUF4309 domain-containing protein,DUF4309,1,4,4,4,3,DUF/domain,isolate_only_multicopy
,DUF6075 domain-containing protein,DUF6075,0,3,3,3,3,DUF/domain,isolate_only_multicopy
degV,DegV family EDD domain-containing protein,degV,0,3,3,3,3,Other,isolate_only_multicopy
,Dienelactone hydrolase family protein,Dienelactone hydrolase,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Diguanylate cyclase,Diguanylate cyclase,2,5,5,5,3,Other,isolate_only_multicopy
,Endoglucanase,Endoglucanase,2,5,5,5,3,Other,isolate_only_multicopy
,Esterase family protein,Esterase,0,3,3,3,3,Other,isolate_only_multicopy
,Extracellular solute-binding protein family 1,Extracellular solute-binding protein family 1,6,3,3,3,-3,ABC transporter,I6_expanded
,Ferric iron reductase FhuF-like transporter family protein,Ferric iron reductase FhuF-like transporter,1,4,4,4,3,Metabolism,isolate_only_multicopy
,Flavin oxidoreductase / NADH oxidase family protein,Flavin oxidoreductase / NADH oxidase,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Flavodoxin family protein,Flavodoxin,0,3,3,3,3,Other,isolate_only_multicopy
,GDSL-like Lipase/Acylhydrolase family protein,GDSL-like Lipase/Acylhydrolase,1,4,4,4,3,Metabolism,isolate_only_multicopy
,GTP-binding protein,GTP-binding protein,0,3,3,3,3,ABC transporter,isolate_only_multicopy
,GlcNAc-PI de-N-acetylase family protein,GlcNAc-PI de-N-acetylase,0,3,3,3,3,Other,isolate_only_multicopy
,Glycosyl hydrolases 2 family protein,Glycosyl hydrolases 2,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Glycosyl hydrolases 43 family protein,Glycosyl hydrolases 43,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Glycosyltransferase subfamily 4-like N-terminal domain-containing protein,Glycosyltransferase subfamily 4-like N-terminal,4,1,1,1,-3,Metabolism,I6_only_multicopy
,Glyoxalase/Bleomycin resistance /Dioxygenase superfamily protein,Glyoxalase/Bleomycin resistance /Dioxygenase super,2,5,5,5,3,Other,isolate_only_multicopy
,HPr family phosphocarrier protein,HPr family phosphocarrier protein,0,3,3,3,3,Other,isolate_only_multicopy
,HTH rpiR-type domain-containing protein,HTH rpiR-type,3,0,0,0,-3,Other,I6_only_multicopy
,Helicase,Helicase,0,3,3,3,3,Other,isolate_only_multicopy
,Hsp20 family protein,Hsp20,0,3,3,3,3,Other,isolate_only_multicopy
,HxlR-like helix-turn-helix family protein,HxlR-like helix-turn-helix,0,3,3,3,3,Other,isolate_only_multicopy
,Hydantoinase B/oxoprolinase domain-containing protein,Hydantoinase B/oxoprolinase,3,0,0,0,-3,Other,I6_only_multicopy
,Hydantoinase B/oxoprolinase family protein,Hydantoinase B/oxoprolinase,0,3,3,3,3,Other,isolate_only_multicopy
,Inositol 2-dehydrogenase,Inositol 2-dehydrogenase,3,0,0,0,-3,Metabolism,I6_only_multicopy
yjbE,"Integral membrane, YjbE family protein",yjbE,0,3,3,3,3,Other,isolate_only_multicopy
,Iron chelate uptake ABC transporter family permease subunit,Iron chelate uptake ABC transporter family permeas,0,3,3,3,3,ABC transporter,isolate_only_multicopy
,Isochorismatase family protein,Isochorismatase,3,6,6,6,3,Other,isolate_expanded
lysR,LysR family transcriptional regulator,lysR,6,3,3,3,-3,Regulator,I6_expanded
marR,MarR family transcriptional regulator,marR,4,7,7,7,3,Regulator,isolate_expanded
