series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m3.C4,m1.C2,0.4969435224041362,2,1,FALSE,clone-clone,between co-clusters,0
m3.C5,m1.C2,0.5516595389678498,7,1,FALSE,clone-clone,between co-clusters,0
m3.C6,m1.C2,0.6526811802051208,5,1,FALSE,clone-clone,between co-clusters,0.0625
m3.C7,m1.C2,0.5107900743043499,7,1,FALSE,clone-clone,between co-clusters,0
m3.C8,m1.C2,0.3680462055222692,5,1,FALSE,clone-clone,between co-clusters,0
m3.C9,m1.C2,0.6051081577502886,5,1,FALSE,clone-clone,between co-clusters,0.0625
m3.C10,m1.C2,0.597123772839233,7,1,FALSE,clone-clone,between co-clusters,0
m3.C11,m1.C2,0.6294551856448538,7,1,FALSE,clone-clone,between co-clusters,0
m3.C12,m1.C2,0.6911387143709213,8,1,FALSE,clone-clone,between co-clusters,0
m3.C13,m1.C2,0.647211881958202,3,1,FALSE,clone-clone,between co-clusters,0
m3.Enterobacteriaceae,m1.C2,0.5557771513667178,5,1,FALSE,clone-species,between co-clusters,0
m3.Paenibacillaceae,m1.C2,0.30117353481700404,1,1,TRUE,clone-species,within co-cluster,0
m3.Ruminococcaceae,m1.C2,0.1731349594760102,1,1,TRUE,clone-species,within co-cluster,0
m4.C1,m1.C2,0.12688893506526555,1,1,TRUE,clone-clone,within co-cluster,0.0625
m4.C2,m1.C2,0.19885306657187474,1,1,TRUE,clone-clone,within co-cluster,0
m4.C3,m1.C2,0.20796288268468088,1,1,TRUE,clone-clone,within co-cluster,0.1
m4.C4,m1.C2,0.4487274279722383,2,1,FALSE,clone-clone,between co-clusters,0
m4.C5,m1.C2,0.5915091818786742,2,1,FALSE,clone-clone,between co-clusters,0
m4.C6,m1.C2,0.4292522152376279,2,1,FALSE,clone-clone,between co-clusters,0
m4.C7,m1.C2,0.7300067121476286,3,1,FALSE,clone-clone,between co-clusters,0.125
m4.C8,m1.C2,0.3617643866292395,2,1,FALSE,clone-clone,between co-clusters,0
m4.C9,m1.C2,0.8211410965922847,4,1,FALSE,clone-clone,between co-clusters,0
m4.C10,m1.C2,0.7398343256316045,7,1,FALSE,clone-clone,between co-clusters,0
m4.C11,m1.C2,0.7038778936165058,3,1,FALSE,clone-clone,between co-clusters,0
m4.C12,m1.C2,0.6633828895754635,4,1,FALSE,clone-clone,between co-clusters,0
m4.C13,m1.C2,0.6408522510872037,3,1,FALSE,clone-clone,between co-clusters,0
m4.C14,m1.C2,0.6003248777695771,3,1,FALSE,clone-clone,between co-clusters,0
m4.Enterobacteriaceae,m1.C2,0.5229046224591779,5,1,FALSE,clone-species,between co-clusters,0
m4.Paenibacillaceae,m1.C2,0.282197174786876,1,1,TRUE,clone-species,within co-cluster,0
