window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
1,C10,Enterobacteriaceae,1.3976192702346062e-5,1.095525215946304e-5,C10→Enterobacteriaceae,mutualism,other,m4
1,C11,Enterobacteriaceae,-7.073283544158265e-5,-6.80753488616956e-5,C11→Enterobacteriaceae,competition,other,m4
1,C12,Enterobacteriaceae,-6.929873050634968e-5,-6.728605034456732e-5,C12→Enterobacteriaceae,competition,other,m4
1,C13,Enterobacteriaceae,-8.448729505734296e-5,-8.232978318619244e-5,C13→Enterobacteriaceae,competition,other,m4
1,C14,Enterobacteriaceae,-7.533320534726907e-5,-7.350999955875284e-5,C14→Enterobacteriaceae,competition,other,m4
1,Enterobacteriaceae,Enterobacteriaceae,-7.943993821576807e-9,-7.943993821576807e-9,Enterobacteriaceae→Enterobacteriaceae,competition,species-species,m4
1,Paenibacillaceae,Enterobacteriaceae,9.167017669523595e-6,9.337905707116113e-6,Paenibacillaceae→Enterobacteriaceae,mutualism,species-species,m4
1,C1,Paenibacillaceae,0.02849652913134059,0.02588858644055559,C1→Paenibacillaceae,mutualism,C-focal,m4
1,C2,Paenibacillaceae,-0.00261181522583522,-0.00236876475149027,C2→Paenibacillaceae,competition,C-focal,m4
1,C3,Paenibacillaceae,0.05286828089487821,0.04987522599299433,C3→Paenibacillaceae,mutualism,C-focal,m4
1,C4,Paenibacillaceae,0.05728958362908783,0.05312314840091625,C4→Paenibacillaceae,mutualism,C-focal,m4
1,C5,Paenibacillaceae,0.06493727500918073,0.05914601753587537,C5→Paenibacillaceae,mutualism,C-focal,m4
1,C6,Paenibacillaceae,0.04036712548890037,0.03780765645396305,C6→Paenibacillaceae,mutualism,C-focal,m4
1,C7,Paenibacillaceae,0.0882421701152209,0.08370343503770956,C7→Paenibacillaceae,mutualism,C-focal,m4
1,C8,Paenibacillaceae,0.00465304055168153,0.00649300134065176,C8→Paenibacillaceae,mutualism,C-focal,m4
1,C9,Paenibacillaceae,0.06961842381231274,0.06660078539944875,C9→Paenibacillaceae,mutualism,C-focal,m4
1,C10,Paenibacillaceae,-0.01642855879929261,-0.01264187666499851,C10→Paenibacillaceae,competition,C-focal,m4
1,C11,Paenibacillaceae,0.08314414167297994,0.0785559430042808,C11→Paenibacillaceae,mutualism,C-focal,m4
1,C12,Paenibacillaceae,0.08145839808353474,0.07764512741006532,C12→Paenibacillaceae,mutualism,C-focal,m4
1,C13,Paenibacillaceae,0.09931206045905128,0.09500493003229304,C13→Paenibacillaceae,mutualism,C-focal,m4
1,C14,Paenibacillaceae,0.08855172649265541,0.0848272896450973,C14→Paenibacillaceae,mutualism,C-focal,m4
1,Enterobacteriaceae,Paenibacillaceae,9.337905707116113e-6,9.167017669523595e-6,Enterobacteriaceae→Paenibacillaceae,mutualism,species-species,m4
1,Paenibacillaceae,Paenibacillaceae,-0.01077553036118647,-0.01077553036118647,Paenibacillaceae→Paenibacillaceae,competition,species-species,m4
2,C1,C1,-0.10516655025505836,-0.10516655025505836,C1→C1,competition,C-C,m4
2,C2,C1,0.0098238508192119,0.00938835197199334,C2→C1,mutualism,C-C,m4
2,C3,C1,-0.14874633446533764,-0.3100538644058612,C3→C1,competition,C-C,m4
2,C4,C1,-0.18874950838914809,-0.27848635884430273,C4→C1,competition,C-C,m4
2,C5,C1,-0.23491002614583192,-0.24909829722167448,C5→C1,competition,C-C,m4
2,C6,C1,-0.12139418801066658,-0.2196627760730895,C6→C1,competition,C-C,m4
2,C7,C1,-0.24110302201778017,-0.545972413593543,C7→C1,competition,C-C,m4
2,C8,C1,0.03784994916145318,-0.15830498612904118,C8→C1,antagonism,C-C,m4
2,C9,C1,-0.1738185347011651,-0.46582334139927634,C9→C1,competition,C-C,m4
2,C10,C1,0.11454077958375604,-0.08158567997805792,C10→C1,antagonism,C-C,m4
2,C11,C1,-0.2333844772846118,-0.4950157733357944,C11→C1,competition,C-C,m4
2,C12,C1,-0.21001967456118817,-0.5274539759108893,C12→C1,competition,C-C,m4
2,C13,C1,-0.2500513801963556,-0.6643561412105515,C13→C1,competition,C-C,m4
2,C14,C1,-0.22107368423492657,-0.5996008058464446,C14→C1,competition,C-C,m4
2,Enterobacteriaceae,C1,-1.808857327273265e-5,-7.704801278332973e-5,Enterobacteriaceae→C1,competition,other,m4
2,Paenibacillaceae,C1,0.01638231930500945,0.10119310390162783,Paenibacillaceae→C1,mutualism,C-focal,m4
2,C1,C2,0.00938835197199334,0.0098238508192119,C1→C2,mutualism,C-C,m4
2,C2,C2,-8.777844645088148e-4,-8.777844645088148e-4,C2→C2,competition,C-C,m4
2,C3,C2,0.01325248195234199,0.02859733205535408,C3→C2,mutualism,C-C,m4
2,C4,C2,0.01687311228686604,0.02580080938799801,C4→C2,mutualism,C-C,m4
2,C5,C2,0.02096035116833164,0.02323880702077868,C5→C2,mutualism,C-C,m4
2,C6,C2,0.01082906367211404,0.02029442285784188,C6→C2,mutualism,C-C,m4
2,C7,C2,0.02151120000743428,0.05029995212048085,C7→C2,mutualism,C-C,m4
2,C8,C2,-0.00339438929760747,0.01433883570652774,C8→C2,antagonism,C-C,m4
2,C9,C2,0.01547938576255995,0.04284935099623542,C9→C2,mutualism,C-C,m4
2,C10,C2,-0.01022728073726093,0.0071688657257959,C10→C2,antagonism,C-C,m4
2,C11,C2,0.0208130256901444,0.04564218634456982,C11→C2,mutualism,C-C,m4
2,C12,C2,0.01870471362087023,0.04854937778236423,C12→C2,mutualism,C-C,m4
2,C13,C2,0.02228672411891317,0.06111190567582664,C13→C2,mutualism,C-C,m4
2,C14,C2,0.01971114354260959,0.05514260017893795,C14→C2,mutualism,C-C,m4
2,Enterobacteriaceae,C2,1.6121455966079452e-6,7.061809302141432e-6,Enterobacteriaceae→C2,mutualism,other,m4
2,Paenibacillaceae,C2,-0.00146069594369916,-0.00925734886829895,Paenibacillaceae→C2,competition,C-focal,m4
2,C1,C3,-0.3100538644058612,-0.14874633446533764,C1→C3,competition,C-C,m4
