label1,label2,overlap,z_score,neg_log_p,correlation,significant
m4.C7,m4.C3,0,-1.1716073652250454,0.6173441861740931,-0.3132481744952491,FALSE
m4.C8,m4.C3,0,-0.3553557984449645,0.14126852111817695,0.6090092230212507,FALSE
m4.C9,m4.C3,0,-1.1304589601210668,0.5879043760884404,0.29954360084461906,FALSE
m4.C10,m4.C3,0,-0.24128552504704245,0.09187230641099987,-0.09209666490894719,FALSE
m4.C11,m4.C3,0,-0.434131399782613,0.17770568942661816,-0.28825266482618095,FALSE
m4.C12,m4.C3,0,-0.6742433382371781,0.30089397777307963,0.10150736469484212,FALSE
m4.C13,m4.C3,0,-0.9127481261099996,0.4420418637098731,-0.43235932426638457,FALSE
m4.C14,m4.C3,0,-0.7835035342893487,0.3631797608063917,-0.3732282972693146,FALSE
m4.C5,m4.C4,0,-2.4764432074071854,1.8771332172765116,0.6189134085347829,TRUE
m4.C6,m4.C4,0,-7.161786541527021,12.098910447902073,0.7890925830969934,TRUE
m4.C7,m4.C4,0,-5.9498177925540485,8.571150900836127,0.6883133047676374,TRUE
m4.C8,m4.C4,0,-1.813368585363246,1.1563002081564429,0.6633063183561356,FALSE
m4.C9,m4.C4,0,-5.42989651606023,7.248823024226432,0.47399150639215415,TRUE
m4.C10,m4.C4,0,-1.2555521412032882,0.6792756094157592,0.7268207605777278,FALSE
m4.C11,m4.C4,0,-2.121885280985723,1.4704750355430334,0.49821197215533874,TRUE
m4.C12,m4.C4,0,-3.2971684492850732,3.0102614578718283,0.26444900460042264,TRUE
m4.C13,m4.C4,0,-4.562477446994469,5.2962485529839425,-0.009240158142128196,TRUE
m4.C14,m4.C4,0,-3.894836930641983,4.007601959319322,0.4310913782491649,TRUE
m4.C6,m4.C5,0,-1.6892415727803114,1.040133063592134,0.8976675065177874,FALSE
m4.C7,m4.C5,0,-1.3849841688462616,0.7797420063028921,0.38953875747752953,FALSE
m4.C8,m4.C5,0,-0.44442201612192445,0.18260818532261577,0.7933286010805707,FALSE
m4.C9,m4.C5,0,-1.359058768126332,0.7591314704772846,0.7796327194449844,FALSE
m4.C10,m4.C5,0,-0.31079728959311154,0.12150421106696235,0.5104922906542968,FALSE
m4.C11,m4.C5,0,-0.5495651486604672,0.23461634912157106,0.4574982100109929,FALSE
m4.C12,m4.C5,0,-0.7629634085288041,0.35116670145819795,0.571591987260791,FALSE
m4.C13,m4.C5,0,-1.111730887242055,0.5747040623203608,-0.00552675372478495,FALSE
m4.C14,m4.C5,0,-0.889264424031431,0.4272898525079713,0.29495424107718793,FALSE
m4.C7,m4.C6,0,-4.285851839692089,4.739832489925271,0.43001481887091497,TRUE
m4.C8,m4.C6,0,-1.1918521280120853,0.63204946204141,0.9514711648810292,FALSE
m4.C9,m4.C6,0,-4.057839471777831,4.305142261734267,0.7646384823556823,TRUE
m4.C10,m4.C6,0,-0.8988305050174842,0.4332762754719398,0.654711702579972,FALSE
m4.C11,m4.C6,0,-1.5453306563768134,0.9126932164404223,0.40844669179341775,FALSE
m4.C12,m4.C6,0,-2.339168369367278,1.7138418136961608,0.5589348149023374,TRUE
m4.C13,m4.C6,0,-3.3581241367842165,3.1052777357235275,-0.1095038207435719,TRUE
m4.C14,m4.C6,0,-2.733240427961745,2.2026317984755304,0.32348405383058487,TRUE
m4.C8,m4.C7,0,-1.0954016089692742,0.5632956508030039,0.246285584387272,FALSE
m4.C9,m4.C7,0,-3.427030063421465,3.214512489752616,0.6009314321665988,TRUE
m4.C10,m4.C7,0,-0.7603353723519688,0.3496398756815362,0.7029930053811849,FALSE
m4.C11,m4.C7,0,-1.2879376048748064,0.7038446726715573,0.9126579638904201,FALSE
m4.C12,m4.C7,0,-1.9814997304014066,1.322984130224956,0.588637408998351,TRUE
m4.C13,m4.C7,0,-2.7031424866616254,2.163123587276188,0.6754059727375893,TRUE
m4.C14,m4.C7,0,-2.3265015442462187,1.6991478803596411,0.8943374324223262,TRUE
m4.C9,m4.C8,0,-1.0359211439523064,0.522532992733116,0.6865977867407385,FALSE
m4.C10,m4.C8,0,-0.2364534687253035,0.08986628876903131,0.6167266069281567,FALSE
m4.C11,m4.C8,0,-0.38398472576279563,0.15428832091742878,0.23481487544754787,FALSE
m4.C12,m4.C8,0,-0.5818704510089184,0.2513051173476046,0.5049819538110343,FALSE
m4.C13,m4.C8,0,-0.841101826271752,0.3976242913793563,-0.1920877126273577,FALSE
m4.C14,m4.C8,0,-0.6974468761958841,0.31379003618320794,0.20786291390590395,FALSE
m4.C10,m4.C9,0,-0.7646423078777097,0.35214331188074205,0.5734288617499251,FALSE
m4.C11,m4.C9,0,-1.2408189560868335,0.6682233090611474,0.7193893909349977,FALSE
m4.C12,m4.C9,0,-1.919735817498474,1.2604966609435742,0.8995900826801375,FALSE
m4.C13,m4.C9,0,-2.6811472919048347,2.134480215128351,0.36982423670162634,TRUE
m4.C14,m4.C9,0,-2.1762484413401673,1.5296381968350867,0.6052553675399273,TRUE
m4.C11,m4.C10,0,-0.2640070400018397,0.10139849258674907,0.5792127471683148,FALSE
m4.C12,m4.C10,0,-0.4278792484667361,0.1747433251808645,0.5181341250485277,FALSE
m4.C13,m4.C10,0,-0.6006573868290982,0.2611653902791348,0.2874018606153619,FALSE
m4.C14,m4.C10,0,-0.4987630963798843,0.20904927197221007,0.6326528611944242,FALSE
m4.C12,m4.C11,0,-0.7388805579949905,0.3372614957744658,0.7143533450404512,FALSE
m4.C13,m4.C11,0,-0.9641328425245707,0.47498199199802515,0.7363026368561781,FALSE
m4.C14,m4.C11,0,-0.7753788397982535,0.3584110496762211,0.882796316993173,FALSE
m4.C13,m4.C12,0,-1.5200916527782422,0.8911376262212505,0.6076740759191342,FALSE
m4.C14,m4.C12,0,-1.2826200109521626,0.6997845575704296,0.7577740979970282,FALSE
m4.C14,m4.C13,0,-1.6743244263452934,1.0265633690316884,0.8510861502546149,FALSE
