window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
6,C3,Lactobacillaceae,0.0343633345826324,-0.12248380269465887,C3→Lactobacillaceae,antagonism,other,m8,0.15300932335448508,-0.11864598877185267
7,C3,Lactobacillaceae,-0.03961038572111144,-0.1348587814142455,C3→Lactobacillaceae,competition,other,m8,0.0343633345826324,-0.07397372030374384
2,C3,Paenibacillaceae,0.163008285814682,-0.05746687971197858,C3→Paenibacillaceae,antagonism,C-focal,m8,-0.00715087264361176,0.17015915845829374
3,C3,Paenibacillaceae,0.7199856973648562,-0.07024464341356419,C3→Paenibacillaceae,antagonism,C-focal,m8,0.163008285814682,0.5569774115501742
4,C3,Paenibacillaceae,0.2929785183628826,-0.20769733526103393,C3→Paenibacillaceae,antagonism,C-focal,m8,0.7199856973648562,-0.4270071790019736
5,C3,Paenibacillaceae,0.08256404777692015,-0.2503777600918161,C3→Paenibacillaceae,antagonism,C-focal,m8,0.2929785183628826,-0.2104144705859624
6,C3,Paenibacillaceae,0.01816808281491904,-0.2599084543044499,C3→Paenibacillaceae,antagonism,C-focal,m8,0.08256404777692015,-0.06439596496200112
8,C3,Paenibacillaceae,-0.04876017939494517,-0.18390990938598628,C3→Paenibacillaceae,competition,C-focal,m8,-0.01670778878903329,-0.032052390605911876
5,C4,C2,-0.21406661625955503,0.08689421425153626,C4→C2,antagonism,C-C,m8,-0.10139687259118806,-0.11266974366836698
3,C4,C3,0.15297658731793304,0.21712111201219725,C4→C3,mutualism,C-C,m8,-0.00620019746686234,0.15917678478479538
2,C4,C7,-0.09307166514269688,0.011051353381472,C4→C7,antagonism,C-C,m8,0.00279531798713876,-0.09586698312983565
2,C4,Lactobacillaceae,0.04479110850944361,-0.0014957825822751,C4→Lactobacillaceae,antagonism,other,m8,6.593922640322411e-4,0.044131716245411366
6,C4,Lactobacillaceae,-0.02247457534565249,-0.1086225695916103,C4→Lactobacillaceae,competition,other,m8,0.03836623010538247,-0.06084080545103496
2,C4,Paenibacillaceae,0.07617156745600086,-0.00277694009568725,C4→Paenibacillaceae,antagonism,C-focal,m8,-0.00465886406324893,0.08083043151924979
3,C4,Paenibacillaceae,0.2951585138401252,-0.01667625080615819,C4→Paenibacillaceae,antagonism,C-focal,m8,0.07617156745600086,0.21898694638412436
5,C4,Paenibacillaceae,-0.04398823837589931,-0.08707321631155396,C4→Paenibacillaceae,competition,C-focal,m8,0.07628047101665732,-0.12026870939255663
11,C6,C1,-0.03941423275706415,-0.00351239131171644,C6→C1,competition,C-C,m8,-0.01719208584498199,-0.022222146912082158
4,C6,C2,0.185850837781566,-0.1135391403337918,C6→C2,antagonism,C-C,m8,-0.04760162844539888,0.23345246622696486
11,C6,C2,0.03033518344460321,-0.00879962215868801,C6→C2,antagonism,C-C,m8,0.06503909498343668,-0.034703911538833475
4,C6,C3,0.18137345241388717,-0.06885230037613002,C6→C3,antagonism,C-C,m8,-0.08218172845321868,0.26355518086710583
11,C6,C5,0.04281788989691159,0.0150185645478037,C6→C5,mutualism,C-C,m8,0.00169329158944325,0.04112459830746834
11,C6,C6,0.02382362387674644,0.02382362387674644,C6→C6,mutualism,C-C,m8,-0.00388913043086221,0.027712754307608653
2,C6,C7,0.05459485249234643,0.01278354130907854,C6→C7,mutualism,C-C,m8,-0.00140232438753324,0.055997176879879665
11,C6,C7,0.1209370021845294,-0.04587268840062811,C6→C7,antagonism,C-C,m8,0.0939491689986654,0.026987833185863994
2,C6,Lactobacillaceae,-0.02655220319508256,-0.00756580894382186,C6→Lactobacillaceae,competition,other,m8,-3.237361537818457e-4,-0.026228467041300715
2,C6,Paenibacillaceae,-0.04602850426121813,-0.01865482894768353,C6→Paenibacillaceae,competition,C-focal,m8,0.00228732245599248,-0.04831582671721061
4,C6,Paenibacillaceae,0.05259100337500976,0.03410902459732027,C6→Paenibacillaceae,mutualism,C-focal,m8,-0.18056486665843305,0.2331558700334428
11,C6,Paenibacillaceae,-0.03180362588897659,0.0447089590022138,C6→Paenibacillaceae,antagonism,C-focal,m8,0.00496933012264073,-0.03677295601161732
2,C7,C2,0.0390409541941889,-0.09634975453757888,C7→C2,antagonism,C-C,m8,0.00590216732733453,0.03313878686685437
3,C7,C2,0.4227283179110467,-0.24426816453789288,C7→C2,antagonism,C-C,m8,0.0390409541941889,0.3836873637168578
5,C7,C2,0.09679214130648887,-0.1766027446520603,C7→C2,antagonism,C-C,m8,0.22173286824627128,-0.1249407269397824
2,C7,C3,0.06200389466796083,-0.1901784868211716,C7→C3,antagonism,C-C,m8,0.02977546727099027,0.03222842739697056
3,C7,C3,0.6453445771354163,-0.379847710576409,C7→C3,antagonism,C-C,m8,0.06200389466796083,0.5833406824674554
5,C7,C3,0.25690257200640493,-0.377816404086411,C7→C3,antagonism,C-C,m8,0.3897812364702376,-0.13287866446383267
