Sample,Cohort,Time_int,n_detected,mean_freq,median_freq,max_freq,frac_above_1pct
m6,colonized_2,7,3890,2.570694087403599e-4,1.1488416229915377e-6,0.27428095917552997,0.002827763496143959
m6,colonized_2,8,2418,4.1356492969396195e-4,3.1559629553068304e-6,0.2897986653432662,0.0041356492969396195
m6,colonized_2,9,2144,4.664179104477612e-4,3.550170656703468e-6,0.2807499806515699,0.005130597014925373
m6,colonized_2,10,2061,4.8520135856380397e-4,2.792874817764918e-6,0.2453754647809176,0.006307617661329452
m6,colonized_2,11,1627,6.146281499692685e-4,3.7480104311294755e-6,0.22790193872086234,0.007990165949600492
m6,colonized_2,12,1643,6.086427267194157e-4,2.341401803949744e-6,0.2172533216129449,0.007303712720632989
m6,colonized_2,13,1501,6.662225183211193e-4,2.2500210537684318e-6,0.20572360355657612,0.007994670219853431
m6,colonized_2,15,1211,8.257638315441783e-4,1.5805578737071037e-6,0.27442214804137266,0.00990916597853014
m6,colonized_2,16,1169,8.55431993156544e-4,1.3552192202610693e-6,0.2675067218873325,0.010265183917878529
m6,colonized_2,17,1017,9.832841691248771e-4,1.6296000554064019e-6,0.26795758151055776,0.011799410029498525
m6,colonized_2,18,1088,9.191176470588235e-4,1.2120117637861793e-6,0.2683524336287208,0.011029411764705883
m7,colonized_2,2,56776,1.7613075947583487e-5,8.32821379524198e-6,0.002974005146280911,0
m7,colonized_2,3,76644,1.3047335734043108e-5,5.562386647058224e-6,0.0031106102216271157,0
m7,colonized_2,4,40389,2.4759216618386194e-5,1.4221083204938158e-5,0.0038116245379551353,0
m7,colonized_2,5,35723,2.799316966660135e-5,1.0057883117340292e-6,0.10430728844500098,4.198975449990202e-4
m7,colonized_2,6,13285,7.527286413248025e-5,3.143217894465202e-7,0.1345064660706916,0.0015054572826496049
m7,colonized_2,7,9020,1.1086474501108647e-4,3.485875233553641e-7,0.11867139351348337,0.0021064301552106432
m7,colonized_2,8,5048,1.9809825673534074e-4,8.649336855343301e-7,0.1041094729267107,0.003763866877971474
m7,colonized_2,9,3395,2.945508100147275e-4,2.454897397563269e-6,0.11717225278569482,0.005891016200294551
m7,colonized_2,10,3027,3.303600925008259e-4,3.1589459770597342e-06,0.12054402465060929,0.006937561942517344
m7,colonized_2,11,2535,3.944773175542406e-4,3.923137882604022e-6,0.10876721455070441,0.008284023668639054
m7,colonized_2,12,2352,4.2517006802721087e-4,3.170798216743083e-6,0.10798906391695046,0.008503401360544218
m7,colonized_2,13,1985,5.037783375314861e-4,3.3726994816835438e-6,0.11442287715549224,0.00906801007556675
